 libfreehand, a library for import of Aldus/Macromedia/Adobe FreeHand documents
 libgcrypt, General purpose cryptographic library based on the code from GnuPG
 libgexiv2, GObject-based wrapper around the Exiv2 library
 libgirepository, Introspection system for GObject-based libraries - runtime library
 libgit2, A linkable library for Git
 libglvnd, The GL Vendor-Neutral Dispatch library
 libgme, Video game music file emulation/playback library
 libgpg-error, Support library for libgcrypt
 libgtop, Library for collecting system monitoring data
 libgudev, GObject bindings for libudev
 libgusb, GObject wrapper for libusb1
 libgxps, XPS Documents library
 libhandy, Library full of GTK+ widgets for mobile phones
 libheif, An HEIF and AVIF file format decoder and encoder
 libice, X11 Inter-Client Exchange library
 libid3tag, ID3 tag manipulation library
 libidn, Implementation of the Stringprep Punycode and IDNA specifications
 libidn2, Free software implementation of IDNA2008 Punycode and TR46
 libiec61883, A higher level API for streaming DV MPEG-2 and audio over Linux IEEE 1394
 libimagequant, Library for high-quality conversion of RGBA images to 8-bit indexed-color (palette) images
 libimobiledevice, Library to communicate with services on iOS devices using native protocols
 libimobiledevice-glue, A library with common code used by libraries and tools around the libimobiledevice project
 libinih, A simple .INI file parser written in C
 libinput, Input device management and event handling library
 libinstpatch, Instrument file software library
 libisl, Library for manipulating sets and relations of integer points bounded by linear constraints
 libixion, A general purpose formula parser & interpreter
 libjpeg-turbo, JPEG image codec with accelerated baseline compression and decompression
 libjxl, JPEG XL image format reference implementation
 libkexiv2, A library to manipulate pictures metadata
 libksba, Library for working with X.509 certificates CMS data and related objects
 liblangtag, interface library to access/deal with tags for identifying languages
 liblc3, Low Complexity Communication Codec library and tools
 libldac, LDAC Bluetooth encoder library
 libldap, Lightweight Directory Access Protocol (LDAP) client libraries
 liblqr, A seam-carving C/C++ library called Liquid Rescale
 libluv, Bare libuv bindings for lua
 libmad, A high-quality MPEG audio decoder
 libmatroska, Matroska library
 libmd, Message Digest functions from BSD systems
 libmediainfo, Shared library for MediaInfo
 libmfx, Intel Media SDK dispatcher library
 libmikmod, Module player library supporting many formats including MOD S3M IT and XM
